Code,Name,Cancel,LateReport,AutoExecuted,OpenReport,Volume,High,Low,Last,Description  
0,REGULAR,false,false,false,false,true,true,true,true,Regular Trade   
1,FORM_T,false,false,false,false,true,false,false,false,Form T. Before and After Regular Hours. note: NYSE/AMEX previously used code 'T' for BurstBasket.
2,OUT_OF_SEQ,false,true,false,false,true,true,true,*,Report was sent Out Of Sequence. Updates last if it becomes only trade (if the trade reports before it are canceled, for example).
4,AVG_PRC_NASDAQ,false,false,false,false,true,false,false,false,average price
5,OPEN_REPORT_LATE,false,true,false,false,true,true,true,*,NYSE/AMEX. Market opened Late. Here is the report. It may not be in sequence. Nasdaq uses OpenReportOutOfSeq. *update last if only trade.
6,OPEN_REPORT_OUT_OF_SEQ,false,true,false,false,true,true,true,false,Report IS out of sequence. Market was open and now this report is just getting to us.
7,OPEN_REPORT_IN_SEQ,false,true,false,false,true,true,true,true,Opening report. This is the first price.
8,PRIOR_REFERENCE_PRICE,false,true,false,false,true,true,true,*,Trade references price established earlier. *Update last if this is the only trade report.
9,NEXT_DAY_SALE,false,false,false,false,true,false,false,false,NYSE/AMEX:Next Day Clearing. Nasdaq: Delivery of Securities and payment one to four days later.*As of September 5, 2017, the NYSE will no longer accept orders with Cash, Next Day or Seller's Option instructions.
10,BUNCHED,false,false,false,false,true,true,true,true,Aggregate of 2 or more Regular trades at same price within 60 seconds and each trade size not greater than 10,000.
11,CASH_SALE,false,false,false,false,true,false,false,false,Delivery of securities and payment on the same day.*As of September 5, 2017, the NYSE will no longer accept orders with Cash, Next Day or Seller's Option instructions.  
12,SELLER,false,false,false,false,true,false,false,false,Stock can be delivered up to 60 days later as specified by the seller. After 1995, the number of days can be greater than 60. note: delivery of 3 days would be considered a regular trade.*As of September 5, 2017, the NYSE will no longer accept orders with Cash, Next Day or Seller's Option instructions.  
13,SOLD_LAST,false,true,false,false,true,true,true,*,Late Reporting. *Sets Consolidated Last if no other qualifying Last, or same Exchange set previous Trade, or Exchange is Listed Exchange. 
14,RULE_127,false,false,false,false,true,true,true,true,NYSE only. Rule 127 basically denotes the trade was executed as a block trade.  
15,BUNCHED_SOLD,false,true,false,false,true,true,true,*,Several trades were bunched into one trade report, and the report is late. *Update last if this is first trade.  
16,NON_BOARD_LOT,false,false,false,false,true,false,false,false,Size of trade is less than a board lot (oddlot). A board lot is usually 1,00 shares. Note this is Canadian markets.  
17,POSIT,false,false,false,false,true,true,true,false,POSIT Canada is an electronic order matching system that prices trades at the mid-point of the bid and ask in the continuous market.  
19,HALT,false,false,false,false,false,false,false,false,Temporary halt in trading in a particular security for one or more participants.  
20,DELAYED,false,false,false,false,true,false,false,false,Indicates a delayed opening   
21,REOPEN,false,false,false,false,true,true,true,true,Reopening of a contract that was previously halted. 
22,ACQUISITION,false,false,false,false,true,true,true,true,Transaction on exchange as a result of an Exchange Acquisition 
25,BURST_BASKET,false,false,false,false,true,true,true,true,Specialist bought or sold this stock as part of an execution of a specific basket of stocks. 
26,OPEN_DETAIL,false,true,false,false,false,false,false,false,107-113, 130, 160 Deleted an existing Sale Condition (Note: the code may be repurposed at a future date): 'G' - 'Opening/Reopening Trade Detail'. This trade is one of several trades that made up the open report trade. Often the open report has a large size which was made up of orders placed overnight. After trading has commenced, the individual trades of the open report trade are sent with this condition. Note it doesn't update volume, high, low, or last because it's already been accounted for in the open report. 
27,INTRA_DETAIL,false,true,false,false,false,false,false,false,This trade is one of several trades that made up a previous trade. Similar to OpenDetail but refers to a trade report that was not the opening trade report.
28,BASKET_ON_CLOSE,false,true,false,false,true,false,false,false,A trade consisting of a paired basket order to be executed based on the closing value of an index. These trades are reported after the close when the index closing value is known. 
29,RULE_155,false,false,false,false,true,true,true,true,AMEX only rule 155. Sale of block at one clean-up price. 
30,DISTRIBUTION,false,false,false,false,true,true,true,true,Sale of a large block of stock in a way that price is not adversely affected. 
31,SPLIT,false,false,false,false,true,true,true,true,Execution in 2 markets when the specialist or MM in the market first receiving the order agrees to execute a portion of it at whatever price is realized in another market to which the balance of the order is forwarded for execution. 
32,REGULAR_SETTLE,false,false,false,false,true,true,true,true,RegularSettle  
33,CUSTOM_BASKET_CROSS,false,false,false,false,true,false,false,false,One of two types:2 paired but seperate orders in which a market maker or member facilitates both sides of a remaining portion of a basket. A split basket plus an entire basket where the market maker or member facilitates the remaining shares of the split basket.  
34,ADJ_TERMS,false,false,false,false,true,true,true,true,Terms have been adjusted to reflect stock split/dividend or similar event.  
35,SPREAD,false,false,false,false,true,true,true,true,Spread between 2 options in the same options class.  
36,STRADDLE,false,false,false,false,true,true,true,true,Straddle between 2 options in the same options class.  
37,BUY_WRITE,false,false,false,false,true,true,true,true,This is the option part of a covered call.  
38,COMBO,false,false,false,false,true,true,true,true,A buy and a sell in 2 or more options in the same class.  
39,STPD,false,false,false,false,true,true,true,true,Traded at price agreed upon by the floor following a non-stopped trade of the same series at the same price.  
40,CANC,true,false,false,false,false,false,false,false,Cancel a previously reported trade - it will not be the first or last trade record. note: If the most recent report is Out of seq, SoldLast, or a type that does not qualify to set the last, that report can be considered in processing the cancel.  
41,CANC_LAST,true,false,false,false,false,false,false,false,Cancel the most recent trade report that is qualified to set the last. 
42,CANC_OPEN,true,false,false,false,false,false,false,false,Cancel the opening trade report.  
43,CANC_ONLY,true,false,false,false,false,false,false,false,Cancel the only trade report. There is only one trade report, cancel it.
44,CANC_STPD,true,false,false,false,false,false,false,false,Cancel the trade report that has the condition STPD.  
45,MATCH_CROSS,false,false,false,false,true,true,true,true,CTS and UTP: Cross Trade. A Cross Trade a trade transaction resulting from a market center's crossing session.  
46,FAST_MARKET,false,false,false,false,true,true,true,true,Term used to define unusually hectic market conditions. 
47,NOMINAL,false,false,false,false,true,true,true,true,Nominal price. A calculated price primarily generated to represent the fair market value of an inactive instrument for the purpose of determining margin requirements and evaluating position risk. Common in futures and futures options.
48,CABINET,false,false,false,true,false,false,false,false,A trade in a deep out-of-the-money option priced at one-half the tick value. Used by options traders to liquidate positions. 
49,BLANK_PRICE,false,false,false,false,false,false,false,false,Sent by an exchange to blank out the associated price (bid, ask or trade). 
50,NOT_SPECIFIED,false,false,false,false,false,false,false,false,An unspecified (generalized) condition. 
51,MC_OFFICIAL_CLOSE,false,false,false,false,false,false,false,false,The Official closing value as determined by a Market Center. 
52,SPECIAL_TERMS,false,false,false,false,true,true,true,true,Indicates that all trades executed will be settled in other than the regular manner.
53,CONTINGENT_ORDER,false,false,false,false,true,true,true,true,The result of an order placed by a Participating Organization on behalf of a client for one security and contingent on the execution of a second order placed by the same client for an offsetting volume of a related security. 
54,INTERNAL_CROSS,false,false,false,false,true,true,true,true,A cross between two client accounts of a Participating Organization which are managed by a single firm acting as portfolio manager with discretionary authority to manage the investment portfolio granted by each of the clients. This was originally from Toronto Stock Exchange (TSX). Information located here.
55,STOPPED_REGULAR,false,false,false,false,true,true,true,true,Stopped Stock  Regular Trade.
56,STOPPED_SOLD_LAST,false,false,false,false,false,true,true,true,TStopped Stock  SoldLast Trade 
58,BASIS,false,false,false,false,true,true,true,true,A transaction involving a basket of securities or an index participation unit that is transacted at prices achieved through the execution of related exchange-traded derivative instruments, which may include index futures, index options and index participation units in an amount that will correspond to an equivalent market exposure.
59,VWAP,false,false,false,false,true,false,false,false,Volume Weighted Average Price. A transaction for the purpose of executing trades at a volume-weighted average price of the security traded for a continuous period on or during a trading day on the exchange. 
60,SPECIAL_SESSION,false,false,false,false,true,false,false,false,Occurs when an order is placed by a purchase order on behalf of a client for execution in the Special Trading Session at the last sale price.
61,NANEX_ADMIN,false,false,false,false,false,false,false,false,Used to make volume and price corrections to match official exchange values. 
62,OPEN_REPORT,false,false,false,false,true,true,true,false,Indicates an opening trade report. 
63,MARKET_ON_CLOSE,true,false,false,false,true,true,true,true,The Official closing value as determined by a Market Center. 
64,SETTLE_PRICE,false,false,false,false,false,false,false,false,Settlement Price 
64,OUT_OF_SEQ_PRE_MKT,false,true,false,false,true,false,false,An out of sequence trade that exectuted in pre or post market -- a combination of FormT and OutOfSeq.
66,MC_OFFICIAL_OPEN,false,false,false,false,false,false,false,false,Indicates the 'Official' opening value as determined by a Market Center. This transaction report will contain the market center generated opening price. 
67,FUTURES_SPREAD,false,false,false,false,true,true,true,true,Execution was part of a spread with another futures contract. 
68,OPEN_RANGE,false,false,false,false,false,true,true,false,Two trade prices are used to indicate an opening range representing the high and low prices during the first 30 seconds or so of trading. 
69,CLOSE_RANGE,false,false,false,false,false,true,true,false,Two trade prices are used to indicate an opening range representing the high and low prices during the last 30 seconds or so of trading. 
70,NOMINAL_CABINET,false,false,false,false,false,false,false,false,Nominal Cabinet 
71,CHANGING_TRANS,false,false,false,false,true,true,true,true,Changing Transaction
72,CHANGING_TRANS_CAB,false,false,false,false,false,false,false,false,Changing Cabinet Transaction 
73,NOMINAL_UPDATE,false,false,false,false,false,false,false,false,Nominal price update
74,PIT_SETTLEMENT,false,false,false,false,false,false,false,false,Sent with a "pit session" settlement price to the electronic session, for the purpose of computing net change from the next day electronic session and the prior session settlement price.
75,BLOCK_TRADE,false,false,false,false,true,true,true,true,An executed trade of a large number of shares, typically 10,000 shares or more.
76,EXG_FOR_PHYSICAL,false,false,false,false,true,true,true,true,Exchange Future for Physical
77,VOLUME_ADJUSTMENT,false,false,false,false,true,false,false,false,An adjustment made to the cumulative trading volume for a trading session.
78,VOLATILITY_TRADE,false,false,false,false,true,true,true,true,Volatility trade
79,YELLOW_FLAG,false,false,false,false,true,true,true,true,Appears when reporting exchnge may be experiencing technical difficulties.
80,FLOOR_PRICE,false,false,false,false,true,true,true,true,Distinguishes a floor Bid/Ask from a member Bid Ask on LME
81,OFFICIAL_PRICE,false,false,false,false,true,true,true,true,Official bid/ask price used by LME.
82,UNOFFICIAL_PRICE,false,false,false,false,true,true,true,true,Unofficial bid/ask price used by LME.
